code,date,close,stage,success,max_return,max_date
sh.600084,2025-04-15,5.46,🚀 启动期（重点）,False,4.212454212454221,2025-04-21
sh.688031,2025-11-25,70.16,🚀 启动期（重点）,True,61.06043329532498,2025-12-18
sh.688031,2025-12-10,74.28,🚀 启动期（重点）,True,125.63274098007537,2026-01-09
sh.601615,2025-08-20,12.54,🚀 启动期（重点）,True,6.858054226475289,2025-09-17
sz.301315,2025-04-15,46.42877208,🚀 启动期（重点）,True,9.269542930371635,2025-05-14
sz.301315,2025-07-15,54.75,🚀 启动期（重点）,False,1.004566210045657,2025-08-07
sh.601601,2025-08-15,39.7,🚀 启动期（重点）,True,6.372795969773285,2025-08-29
sz.300779,2025-04-15,147.79340334,🚀 启动期（重点）,False,2.5089605734767053,2025-04-16
sh.688025,2025-07-10,80.13,🚀 启动期（重点）,True,45.88793211032075,2025-08-07
sh.688025,2025-07-15,83.13,🚀 启动期（重点）,True,43.14928425357874,2025-08-11
sh.688025,2025-07-25,86.15,🚀 启动期（重点）,True,57.69007544979685,2025-08-19
sh.688025,2025-08-01,100.8,🚀 启动期（重点）,True,43.21428571428573,2025-08-26
sh.688025,2025-08-15,124.4,🚀 启动期（重点）,True,40.7395498392283,2025-09-11
sh.688025,2025-09-05,140.5,🚀 启动期（重点）,True,24.612099644128122,2025-09-11
sz.000931,2025-07-01,5.51,🚀 启动期（重点）,True,6.352087114337578,2025-07-21
sh.603758,2025-04-15,10.7,🚀 启动期（重点）,True,30.37383177570094,2025-05-08
sh.603758,2025-04-25,11.4,🚀 启动期（重点）,True,24.912280701754383,2025-05-19
sh.603758,2025-05-20,13.33,🚀 启动期（重点）,True,11.62790697674419,2025-06-18
sh.603758,2025-08-25,15.96,🚀 启动期（重点）,False,4.323308270676677,2025-09-17
sz.300037,2025-07-25,35.51,🚀 启动期（重点）,True,25.542100816671365,2025-08-18
sz.300037,2025-08-20,40.96,🚀 启动期（重点）,True,23.24218749999999,2025-09-08
sz.300037,2025-09-01,48.29,🚀 启动期（重点）,True,6.66804721474425,2025-09-29
